"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 25 14:07:50 GMT 2020","Tue Aug 25 14:07:50 GMT 2020","25","","io.qameta.allure.examples.junit4.AllureParameterizedTest","","io.qameta.allure.examples.junit4.AllureParameterizedTest","allureParameterizedTest[First Name]","allureParameterizedTest[First Name]","allureParameterizedTest description"
"passed","Tue Aug 25 14:07:50 GMT 2020","Tue Aug 25 14:07:50 GMT 2020","10","","io.qameta.allure.examples.junit4.AllureSimpleTest","","io.qameta.allure.examples.junit4.AllureSimpleTest","allureFakeParameterizedTest","allureFakeParameterizedTest",""
"passed","Tue Aug 25 14:07:50 GMT 2020","Tue Aug 25 14:07:50 GMT 2020","1","","io.qameta.allure.examples.junit4.AllureFixtureTest","","io.qameta.allure.examples.junit4.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2",""
"passed","Tue Aug 25 14:07:50 GMT 2020","Tue Aug 25 14:07:50 GMT 2020","1","","io.qameta.allure.examples.junit4.AllureParameterizedTest","","io.qameta.allure.examples.junit4.AllureParameterizedTest","allureParameterizedTest[Second Name]","allureParameterizedTest[Second Name]","allureParameterizedTest description"
"passed","Tue Aug 25 14:07:50 GMT 2020","Tue Aug 25 14:07:50 GMT 2020","40","","io.qameta.allure.examples.junit4.AllureSimpleTest","","io.qameta.allure.examples.junit4.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Tue Aug 25 14:07:50 GMT 2020","Tue Aug 25 14:07:50 GMT 2020","1","","io.qameta.allure.examples.junit4.AllureFixtureTest","","io.qameta.allure.examples.junit4.AllureFixtureTest","allureFixtureTest","allureFixtureTest",""
